,WEEK_OF_YEAR,TIME_PRECISION_x,LATITUDE_x,LONGITUDE_x,GEO_PRECISION_x,FATALITIES_2020_WEEKLY_x,EVENT_COUNT_2020_WEEKLY_x,DAY_OF_YEAR_x,TIME_PRECISION_y,LATITUDE_y,LONGITUDE_y,GEO_PRECISION_y,FATALITIES_2020_WEEKLY_y,EVENT_COUNT_2020_WEEKLY_y,DAY_OF_YEAR_y
0,0.0,239,6889.528000000001,13548.552000000003,372,465,202,1010,239,6889.528000000001,13548.552000000003,372,465,202,1010
1,1.0,445,13360.728000000006,26139.997000000047,732,1250,392,3964,445,13360.728000000006,26139.997000000047,732,1250,392,3964
2,2.0,448,13291.840999999997,26201.98600000002,735,973,392,6788,448,13291.840999999997,26201.98600000002,735,973,392,6788
3,3.0,428,12738.046000000018,25212.796999999995,688,1029,377,9062,428,12738.046000000018,25212.796999999995,688,1029,377,9062
4,4.0,500,15504.902999999998,30353.400000000016,817,1144,455,14116,500,15504.902999999998,30353.400000000016,817,1144,455,14116
5,5.0,391,12334.387000000002,24224.029,652,942,364,13819,391,12334.387000000002,24224.029,652,942,364,13819
6,6.0,476,14355.986999999992,28157.664999999997,771,998,421,18846,476,14355.986999999992,28157.664999999997,771,998,421,18846
7,7.0,384,11830.794999999991,23306.826999999997,649,842,348,18020,384,11830.794999999991,23306.826999999997,649,842,348,18020
8,8.0,316,9647.298,19083.368000000002,515,1009,285,16816,316,9647.298,19083.368000000002,515,1009,285,16816
9,9.0,370,11587.87499999999,22682.50199999998,603,1074,340,22615,370,11587.87499999999,22682.50199999998,603,1074,340,22615
10,10.0,416,12245.323999999993,24050.110000000015,662,986,360,26066,416,12245.323999999993,24050.110000000015,662,986,360,26066
11,11.0,436,13250.889000000008,26066.33000000002,674,897,389,31146,436,13250.889000000008,26066.33000000002,674,897,389,31146
12,12.0,368,11370.171999999993,22483.112,594,969,335,29117,368,11370.171999999993,22483.112,594,969,335,29117
13,13.0,344,10066.514999999998,19862.745999999996,535,1035,297,27909,344,10066.514999999998,19862.745999999996,535,1035,297,27909
14,14.0,314,8885.719999999996,17499.268000000004,486,827,260,26220,314,8885.719999999996,17499.268000000004,486,827,260,26220
15,15.0,433,12012.867999999997,23751.16300000002,641,923,351,37802,433,12012.867999999997,23751.16300000002,641,923,351,37802
16,16.0,406,10575.68,21027.548000000003,552,1140,311,35787,406,10575.68,21027.548000000003,552,1140,311,35787
17,17.0,362,10036.013,19695.31000000001,525,882,294,35845,362,10036.013,19695.31000000001,525,882,294,35845
18,18.0,294,7941.257999999997,15759.173000000004,436,914,235,30382,294,7941.257999999997,15759.173000000004,436,914,235,30382
19,19.0,270,7245.8279999999995,14438.477000000003,388,685,215,29190,270,7245.8279999999995,14438.477000000003,388,685,215,29190
20,20.0,240,5861.708999999998,11618.933,313,717,175,25016,240,5861.708999999998,11618.933,313,717,175,25016
21,21.0,254,7241.706999999997,14341.125999999997,374,843,216,32422,254,7241.706999999997,14341.125999999997,374,843,216,32422
22,22.0,198,4272.129999999997,8514.109999999997,229,628,128,20011,198,4272.129999999997,8514.109999999997,229,628,128,20011
23,23.0,243,6102.9500000000035,11997.121999999994,313,832,182,29971,243,6102.9500000000035,11997.121999999994,313,832,182,29971
