,EVENT_ID_CNTY,EVENT_DATE,EVENT_DATE_NUM,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ACTOR2,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,FATALITIES
27529,AFG15843,01-January-2019,2019-01-01,1,Battles,Armed clash,Military Forces of Afghanistan (2014-),Taliban,Faryab,Shirin Tagab,,Islam Qala,36.214,64.867,1,Bakhtar News Agency,National,10
27530,AFG15844,01-January-2019,2019-01-01,2,Explosions/Remote violence,Air/drone strike,Military Forces of Afghanistan (2014-),Unidentified Armed Group (Afghanistan),Urozgan,Tarinkot,,Tarinkot,32.627,65.873,1,Bakhtar News Agency,National,6
27531,AFG18177,01-January-2019,2019-01-01,1,Explosions/Remote violence,Shelling/artillery/missile attack,Taliban,NATO: North Atlantic Treaty Organization,Kabul,Kabul,,Kabul,34.517,69.183,1,Voice of Jihad,Other,0
27532,AFG18197,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Militia (Pro-Government),Nuristan,Wama,,Wama,35.12,70.745,2,Voice of Jihad,Other,0
27533,AFG18370,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Militia (Pro-Government),Badakhshan,Raghistan,,Ziraki,37.592,70.558,2,Voice of Jihad,Other,0
27534,AFG18144,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Military Forces of Afghanistan (2014-),Kandahar,Maruf,,Maruf,31.567,67.05,2,Voice of Jihad,Other,0
27535,AFG18167,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Military Forces of Afghanistan (2014-),Paktia,Gardez,,Gardez,33.597,69.226,2,Voice of Jihad,Other,0
27536,AFG18186,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Military Forces of Afghanistan (2014-),Kabul,Qarabagh,,Qarabagh,34.853,69.171,2,Voice of Jihad,Other,0
27537,AFG18207,01-January-2019,2019-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,Military Forces of Afghanistan (2014-),Nangarhar,Shinwar,,Shinwar,34.196,70.832,2,Voice of Jihad,Other,0
27538,AFG18122,01-January-2019,2019-01-01,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,Military Forces of Afghanistan (2014-),Urozgan,Khas Urozgan,,Khas Urozgan,32.93,66.689,2,Voice of Jihad,Other,0
27539,AFG18269,01-January-2019,2019-01-01,1,Battles,Armed clash,Taliban,Military Forces of Afghanistan (2014-),Kandahar,Shah Wali Kot,,Shah Wali Kot,32.085,66.0,2,Voice of Jihad,Other,0
