,EVENT_DATE_NUM_x,FATALITIES_2020,EVENT_COUNT_2020,EVENT_DATE_NUM_NUM_x,DAY_OF_YEAR,EVENT_DATE_NUM_y,FATALITIES_2019,EVENT_COUNT_2019,EVENT_DATE_NUM_NUM_y
0,2020-01-01,53.0,30.0,2020-01-01,1,2019-01-01,154,33,2019-01-01
1,2020-01-02,76.0,48.0,2020-01-02,2,2019-01-02,80,28,2019-01-02
2,2020-01-03,23.0,23.0,2020-01-03,3,2019-01-03,79,40,2019-01-03
3,2020-01-04,56.0,31.0,2020-01-04,4,2019-01-04,94,23,2019-01-04
4,2020-01-05,80.0,28.0,2020-01-05,5,2019-01-05,43,21,2019-01-05
5,2020-01-06,14.0,20.0,2020-01-06,6,2019-01-06,210,44,2019-01-06
6,2020-01-07,22.0,17.0,2020-01-07,7,2019-01-07,116,26,2019-01-07
7,2020-01-08,71.0,30.0,2020-01-08,8,2019-01-08,80,35,2019-01-08
8,2020-01-09,61.0,28.0,2020-01-09,9,2019-01-09,194,20,2019-01-09
9,2020-01-10,41.0,25.0,2020-01-10,10,2019-01-10,168,44,2019-01-10
10,2020-01-11,87.0,23.0,2020-01-11,11,2019-01-11,65,20,2019-01-11
11,2020-01-12,4.0,9.0,2020-01-12,12,2019-01-12,146,35,2019-01-12
12,2020-01-13,11.0,12.0,2020-01-13,13,2019-01-13,123,41,2019-01-13
13,2020-01-14,23.0,31.0,2020-01-14,14,2019-01-14,88,34,2019-01-14
14,2020-01-15,50.0,28.0,2020-01-15,15,2019-01-15,61,29,2019-01-15
15,2020-01-16,50.0,34.0,2020-01-16,16,2019-01-16,50,19,2019-01-16
16,2020-01-17,40.0,27.0,2020-01-17,17,2019-01-17,175,50,2019-01-17
17,2020-01-18,60.0,31.0,2020-01-18,18,2019-01-18,104,34,2019-01-18
18,2020-01-19,37.0,18.0,2020-01-19,19,2019-01-19,96,30,2019-01-19
19,2020-01-20,18.0,30.0,2020-01-20,20,2019-01-20,91,15,2019-01-20
20,2020-01-21,33.0,25.0,2020-01-21,21,2019-01-21,88,20,2019-01-21
21,2020-01-22,46.0,20.0,2020-01-22,22,2019-01-22,134,35,2019-01-22
22,2020-01-23,25.0,31.0,2020-01-23,23,2019-01-23,185,31,2019-01-23
23,2020-01-24,42.0,34.0,2020-01-24,24,2019-01-24,70,23,2019-01-24
24,2020-01-25,93.0,39.0,2020-01-25,25,2019-01-25,47,23,2019-01-25
25,2020-01-26,45.0,28.0,2020-01-26,26,2019-01-26,123,40,2019-01-26
26,2020-01-27,55.0,30.0,2020-01-27,27,2019-01-27,59,32,2019-01-27
27,2020-01-28,75.0,33.0,2020-01-28,28,2019-01-28,137,31,2019-01-28
28,2020-01-29,47.0,35.0,2020-01-29,29,2019-01-29,121,39,2019-01-29
29,2020-01-30,92.0,30.0,2020-01-30,30,2019-01-30,87,24,2019-01-30
30,2020-01-31,60.0,43.0,2020-01-31,31,2019-01-31,103,28,2019-01-31
31,2020-02-01,80.0,33.0,2020-02-01,32,2019-02-01,109,30,2019-02-01
32,2020-02-02,68.0,26.0,2020-02-02,33,2019-02-02,46,22,2019-02-02
